/LoadProgram took 3247,7846 milliseconds
/_framework/blazor.server.js took 7,6768 milliseconds
/_content/Radzen.Blazor/Radzen.Blazor.js took 64,6805 milliseconds
/css/open-iconic/font/fonts/open-iconic.woff took 0,3234 milliseconds
/_blazor/initializers took 34,7097 milliseconds
/_blazor/negotiate took 40,1191 milliseconds
/LoadProgram took 3528,19 milliseconds
/_framework/blazor.server.js took 0,6463 milliseconds
/_content/Radzen.Blazor/Radzen.Blazor.js took 0,2637 milliseconds
/_blazor/initializers took 28,5227 milliseconds
/css/open-iconic/font/fonts/open-iconic.woff took 0,3105 milliseconds
/_blazor/negotiate took 30,428 milliseconds
